GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Canarias	2018 Diciembre	Tasa variación anual	-4.20
Canarias	2018 Diciembre	Tasa variación interperiódica	-1.41
Canarias	2018 Diciembre	Dato	207015
Canarias	2018 Diciembre	Variación anual	-9072
Canarias	2018 Diciembre	Variación interperiódica	-2960
Canarias	2018 Noviembre	Tasa variación anual	-4.43
Canarias	2018 Noviembre	Tasa variación interperiódica	0.90
Canarias	2018 Noviembre	Dato	209975
Canarias	2018 Noviembre	Variación anual	-9723
Canarias	2018 Noviembre	Variación interperiódica	1874
Canarias	2018 Octubre	Tasa variación anual	-6.17
Canarias	2018 Octubre	Tasa variación interperiódica	1.30
Canarias	2018 Octubre	Dato	208101
Canarias	2018 Octubre	Variación anual	-13693
Canarias	2018 Octubre	Variación interperiódica	2671
Canarias	2018 Septiembre	Tasa variación anual	-7.05
Canarias	2018 Septiembre	Tasa variación interperiódica	-0.77
Canarias	2018 Septiembre	Dato	205430
Canarias	2018 Septiembre	Variación anual	-15576
Canarias	2018 Septiembre	Variación interperiódica	-1587
Canarias	2018 Agosto	Tasa variación anual	-4.62
Canarias	2018 Agosto	Tasa variación interperiódica	0.13
Canarias	2018 Agosto	Dato	207017
Canarias	2018 Agosto	Variación anual	-10028
Canarias	2018 Agosto	Variación interperiódica	270
Canarias	2018 Julio	Tasa variación anual	-5.12
Canarias	2018 Julio	Tasa variación interperiódica	-0.89
Canarias	2018 Julio	Dato	206747
Canarias	2018 Julio	Variación anual	-11148
Canarias	2018 Julio	Variación interperiódica	-1847
Canarias	2018 Junio	Tasa variación anual	-5.22
Canarias	2018 Junio	Tasa variación interperiódica	-1.80
Canarias	2018 Junio	Dato	208594
Canarias	2018 Junio	Variación anual	-11485
Canarias	2018 Junio	Variación interperiódica	-3817
Canarias	2018 Mayo	Tasa variación anual	-4.64
Canarias	2018 Mayo	Tasa variación interperiódica	-0.34
Canarias	2018 Mayo	Dato	212411
Canarias	2018 Mayo	Variación anual	-10338
Canarias	2018 Mayo	Variación interperiódica	-730
Canarias	2018 Abril	Tasa variación anual	-5.57
Canarias	2018 Abril	Tasa variación interperiódica	-0.29
Canarias	2018 Abril	Dato	213141
Canarias	2018 Abril	Variación anual	-12561
Canarias	2018 Abril	Variación interperiódica	-627
Canarias	2018 Marzo	Tasa variación anual	-7.37
Canarias	2018 Marzo	Tasa variación interperiódica	-0.61
Canarias	2018 Marzo	Dato	213768
Canarias	2018 Marzo	Variación anual	-17011
Canarias	2018 Marzo	Variación interperiódica	-1314
Canarias	2018 Febrero	Tasa variación anual	-6.45
Canarias	2018 Febrero	Tasa variación interperiódica	-0.29
Canarias	2018 Febrero	Dato	215082
Canarias	2018 Febrero	Variación anual	-14818
Canarias	2018 Febrero	Variación interperiódica	-619
Canarias	2018 Enero	Tasa variación anual	-6.93
Canarias	2018 Enero	Tasa variación interperiódica	-0.18
Canarias	2018 Enero	Dato	215701
Canarias	2018 Enero	Variación anual	-16073
Canarias	2018 Enero	Variación interperiódica	-386
Canarias	2017 Diciembre	Tasa variación anual	-5.73
Canarias	2017 Diciembre	Tasa variación interperiódica	-1.64
Canarias	2017 Diciembre	Dato	216087
Canarias	2017 Diciembre	Variación anual	-13146
Canarias	2017 Diciembre	Variación interperiódica	-3611
Canarias	2017 Noviembre	Tasa variación anual	-6.42
Canarias	2017 Noviembre	Tasa variación interperiódica	-0.95
Canarias	2017 Noviembre	Dato	219698
Canarias	2017 Noviembre	Variación anual	-15076
Canarias	2017 Noviembre	Variación interperiódica	-2096
Canarias	2017 Octubre	Tasa variación anual	-4.76
Canarias	2017 Octubre	Tasa variación interperiódica	0.36
Canarias	2017 Octubre	Dato	221794
Canarias	2017 Octubre	Variación anual	-11080
Canarias	2017 Octubre	Variación interperiódica	788
Canarias	2017 Septiembre	Tasa variación anual	-4.29
Canarias	2017 Septiembre	Tasa variación interperiódica	1.82
Canarias	2017 Septiembre	Dato	221006
Canarias	2017 Septiembre	Variación anual	-9895
Canarias	2017 Septiembre	Variación interperiódica	3961
Canarias	2017 Agosto	Tasa variación anual	-5.71
Canarias	2017 Agosto	Tasa variación interperiódica	-0.39
Canarias	2017 Agosto	Dato	217045
Canarias	2017 Agosto	Variación anual	-13140
Canarias	2017 Agosto	Variación interperiódica	-850
Canarias	2017 Julio	Tasa variación anual	-6.11
Canarias	2017 Julio	Tasa variación interperiódica	-0.99
Canarias	2017 Julio	Dato	217895
Canarias	2017 Julio	Variación anual	-14174
Canarias	2017 Julio	Variación interperiódica	-2184
Canarias	2017 Junio	Tasa variación anual	-7.09
Canarias	2017 Junio	Tasa variación interperiódica	-1.20
Canarias	2017 Junio	Dato	220079
Canarias	2017 Junio	Variación anual	-16797
Canarias	2017 Junio	Variación interperiódica	-2670
Canarias	2017 Mayo	Tasa variación anual	-7.21
Canarias	2017 Mayo	Tasa variación interperiódica	-1.31
Canarias	2017 Mayo	Dato	222749
Canarias	2017 Mayo	Variación anual	-17318
Canarias	2017 Mayo	Variación interperiódica	-2953
Canarias	2017 Abril	Tasa variación anual	-6.76
Canarias	2017 Abril	Tasa variación interperiódica	-2.20
Canarias	2017 Abril	Dato	225702
Canarias	2017 Abril	Variación anual	-16361
Canarias	2017 Abril	Variación interperiódica	-5077
Canarias	2017 Marzo	Tasa variación anual	-4.99
Canarias	2017 Marzo	Tasa variación interperiódica	0.38
Canarias	2017 Marzo	Dato	230779
Canarias	2017 Marzo	Variación anual	-12109
Canarias	2017 Marzo	Variación interperiódica	879
Canarias	2017 Febrero	Tasa variación anual	-5.64
Canarias	2017 Febrero	Tasa variación interperiódica	-0.81
Canarias	2017 Febrero	Dato	229900
Canarias	2017 Febrero	Variación anual	-13732
Canarias	2017 Febrero	Variación interperiódica	-1874
Canarias	2017 Enero	Tasa variación anual	-5.78
Canarias	2017 Enero	Tasa variación interperiódica	1.11
Canarias	2017 Enero	Dato	231774
Canarias	2017 Enero	Variación anual	-14210
Canarias	2017 Enero	Variación interperiódica	2541
Canarias	2016 Diciembre	Tasa variación anual	-7.39
Canarias	2016 Diciembre	Tasa variación interperiódica	-2.36
Canarias	2016 Diciembre	Dato	229233
Canarias	2016 Diciembre	Variación anual	-18296
Canarias	2016 Diciembre	Variación interperiódica	-5541
Canarias	2016 Noviembre	Tasa variación anual	-5.58
Canarias	2016 Noviembre	Tasa variación interperiódica	0.82
Canarias	2016 Noviembre	Dato	234774
Canarias	2016 Noviembre	Variación anual	-13865
Canarias	2016 Noviembre	Variación interperiódica	1900
Canarias	2016 Octubre	Tasa variación anual	-5.78
Canarias	2016 Octubre	Tasa variación interperiódica	0.85
Canarias	2016 Octubre	Dato	232874
Canarias	2016 Octubre	Variación anual	-14288
Canarias	2016 Octubre	Variación interperiódica	1973
Canarias	2016 Septiembre	Tasa variación anual	-4.71
Canarias	2016 Septiembre	Tasa variación interperiódica	0.31
Canarias	2016 Septiembre	Dato	230901
Canarias	2016 Septiembre	Variación anual	-11412
Canarias	2016 Septiembre	Variación interperiódica	716
Canarias	2016 Agosto	Tasa variación anual	-5.14
Canarias	2016 Agosto	Tasa variación interperiódica	-0.81
Canarias	2016 Agosto	Dato	230185
Canarias	2016 Agosto	Variación anual	-12464
Canarias	2016 Agosto	Variación interperiódica	-1884
Canarias	2016 Julio	Tasa variación anual	-4.85
Canarias	2016 Julio	Tasa variación interperiódica	-2.03
Canarias	2016 Julio	Dato	232069
Canarias	2016 Julio	Variación anual	-11837
Canarias	2016 Julio	Variación interperiódica	-4807
Canarias	2016 Junio	Tasa variación anual	-4.57
Canarias	2016 Junio	Tasa variación interperiódica	-1.33
Canarias	2016 Junio	Dato	236876
Canarias	2016 Junio	Variación anual	-11347
Canarias	2016 Junio	Variación interperiódica	-3191
Canarias	2016 Mayo	Tasa variación anual	-4.71
Canarias	2016 Mayo	Tasa variación interperiódica	-0.82
Canarias	2016 Mayo	Dato	240067
Canarias	2016 Mayo	Variación anual	-11874
Canarias	2016 Mayo	Variación interperiódica	-1996
Canarias	2016 Abril	Tasa variación anual	-4.71
Canarias	2016 Abril	Tasa variación interperiódica	-0.34
Canarias	2016 Abril	Dato	242063
Canarias	2016 Abril	Variación anual	-11953
Canarias	2016 Abril	Variación interperiódica	-825
Canarias	2016 Marzo	Tasa variación anual	-5.44
Canarias	2016 Marzo	Tasa variación interperiódica	-0.31
Canarias	2016 Marzo	Dato	242888
Canarias	2016 Marzo	Variación anual	-13963
Canarias	2016 Marzo	Variación interperiódica	-744
Canarias	2016 Febrero	Tasa variación anual	-5.82
Canarias	2016 Febrero	Tasa variación interperiódica	-0.96
Canarias	2016 Febrero	Dato	243632
Canarias	2016 Febrero	Variación anual	-15055
Canarias	2016 Febrero	Variación interperiódica	-2352
Canarias	2016 Enero	Tasa variación anual	-5.30
Canarias	2016 Enero	Tasa variación interperiódica	-0.62
Canarias	2016 Enero	Dato	245984
Canarias	2016 Enero	Variación anual	-13759
Canarias	2016 Enero	Variación interperiódica	-1545
Canarias	2015 Diciembre	Tasa variación anual	-5.05
Canarias	2015 Diciembre	Tasa variación interperiódica	-0.45
Canarias	2015 Diciembre	Dato	247529
Canarias	2015 Diciembre	Variación anual	-13153
Canarias	2015 Diciembre	Variación interperiódica	-1110
Canarias	2015 Noviembre	Tasa variación anual	-6.31
Canarias	2015 Noviembre	Tasa variación interperiódica	0.60
Canarias	2015 Noviembre	Dato	248639
Canarias	2015 Noviembre	Variación anual	-16746
Canarias	2015 Noviembre	Variación interperiódica	1477
Canarias	2015 Octubre	Tasa variación anual	-7.01
Canarias	2015 Octubre	Tasa variación interperiódica	2.00
Canarias	2015 Octubre	Dato	247162
Canarias	2015 Octubre	Variación anual	-18629
Canarias	2015 Octubre	Variación interperiódica	4849
Canarias	2015 Septiembre	Tasa variación anual	-9.12
Canarias	2015 Septiembre	Tasa variación interperiódica	-0.14
Canarias	2015 Septiembre	Dato	242313
Canarias	2015 Septiembre	Variación anual	-24324
Canarias	2015 Septiembre	Variación interperiódica	-336
Canarias	2015 Agosto	Tasa variación anual	-9.01
Canarias	2015 Agosto	Tasa variación interperiódica	-0.52
Canarias	2015 Agosto	Dato	242649
Canarias	2015 Agosto	Variación anual	-24019
Canarias	2015 Agosto	Variación interperiódica	-1257
Canarias	2015 Julio	Tasa variación anual	-9.13
Canarias	2015 Julio	Tasa variación interperiódica	-1.74
Canarias	2015 Julio	Dato	243906
Canarias	2015 Julio	Variación anual	-24516
